"","airport_id","name","city","country","iata","iaco","latitude","longitude","altitude","zone","dst","timezone"
"3247",1,"Adelaide Intl","Adelaide","Australia","ADL","YPAD",-34.945,138.530556,20,9.5,"O","UTC+9:30"
"5109",2,"Albany Airport","Albany","Australia","ALH","YABA",-34.9433,117.809,233,8,"O","UTC+8"
"3239",3,"Albury","Albury","Australia","ABX","YMAY",-36.067778,146.958056,539,10,"O","UTC+10"
"3226",4,"Alice Springs","Alice Springs","Australia","ASP","YBAS",-23.806667,133.902222,1789,9.5,"N","UTC+9:30"
"5110",5,"Argyle Airport","","Australia","GYL","YARG",-16.6369,128.451,522,8,"O","UTC+8"
"3955",6,"Armidale","Armidale","Australia","ARM","YARM",-30.528056,151.617222,3556,10,"O","UTC+10"
"5111",7,"Aurukun Airport","","Australia","AUU","YAUR",-13.3539,141.721,31,10,"O","UTC+10"
"3238",8,"Avalon","Avalon","Australia","AVV","YMAV",-38.039444,144.469444,35,10,"O","UTC+10"
"3903",9,"Ayers Rock","Uluru","Australia","AYQ","YAYE",-25.186111,130.975556,1626,9.5,"N","UTC+9:30"
"4179",10,"Ballina Byron Gateway","Ballina Byron Bay","Australia","BNK","YBNA",-28.833889,153.5625,7,10,"O","UTC+10"
"3225",11,"Bamaga Injinoo","Amberley","Australia","ABM","YBAM",-10.950833,142.459444,34,10,"O","UTC+10"
"5112",12,"Barcaldine Airport","","Australia","BCI","YBAR",-23.5653,145.307,878,10,"O","UTC+10"
"5123",13,"Bathurst Airport","","Australia","BHS","YBTH",-33.4094,149.652,2435,10,"O","UTC+10"
"5117",14,"Bedourie Airport","","Australia","BEU","YBIE",-24.3461,139.46,300,10,"O","UTC+10"
"5114",15,"Birdsville Airport","","Australia","BVI","YBDV",-25.8975,139.348,159,10,"O","UTC+10"
"4107",16,"Blackall","Blackall","Australia","BKQ","YBCK",-24.427778,145.428611,928,10,"O","UTC+10"
"5124",17,"Blackwater Airport","","Australia","BLT","YBTR",-23.6031,148.807,657,10,"O","UTC+10"
"5122",18,"Boulia Airport","","Australia","BQL","YBOU",-22.9133,139.9,542,10,"O","UTC+10"
"5118",19,"Bourke Airport","","Australia","BRK","YBKE",-30.0392,145.952,352,10,"O","UTC+10"
"3227",20,"Brisbane Intl","Brisbane","Australia","BNE","YBBN",-27.384167,153.1175,13,10,"O","UTC+10"
"5115",21,"Broken Hill Airport","","Australia","BHQ","YBHI",-32.0014,141.472,958,9.5,"O","UTC+9:30"
"4207",22,"Broome","Broome","Australia","BME","YPBR",-17.8,122.2,56,8,"O","UTC+8"
"4108",23,"Bundaberg","Bundaberg","Australia","BDB","YBUD",-24.903889,152.318611,107,10,"O","UTC+10"
"5119",24,"Burketown Airport","","Australia","BUC","YBKT",-17.7486,139.534,21,10,"O","UTC+10"
"3229",25,"Cairns Intl","Cairns","Australia","CNS","YBCS",-16.885833,145.755278,10,10,"N","UTC+10"
"3262",26,"Camden","Camden","Australia","CDU","YSCN",-34.040278,150.687222,230,10,"O","UTC+10"
"3260",27,"Canberra","Canberra","Australia","CBR","YSCB",-35.306944,149.195,1886,10,"O","UTC+10"
"5125",28,"Carnarvon Airport","","Australia","CVQ","YCAR",-24.8806,113.672,13,8,"O","UTC+8"
"5130",29,"Ceduna Airport","","Australia","CED","YCDU",-32.1306,133.71,77,9.5,"O","UTC+9:30"
"2214",30,"Cessnock Airport","Cessnock","Australia","CES","YCNK",-32.7875,151.342,211,10,"O","UTC+10"
"3230",31,"Charleville","Charlieville","Australia","CTL","YBCV",-26.413334,146.2625,1003,10,"O","UTC+10"
"5129",32,"Cloncurry Airport","","Australia","CNJ","YCCY",-20.6686,140.504,616,10,"O","UTC+10"
"5126",33,"Cobar Airport","","Australia","CAZ","YCBA",-31.5383,145.794,724,10,"O","UTC+10"
"5134",34,"Coen Airport","","Australia","CUQ","YCOE",-13.7608,143.114,532,10,"O","UTC+10"
"3261",35,"Coffs Harbour","Coff's Harbour","Australia","CFS","YSCH",-30.320556,153.116389,18,10,"O","UTC+10"
"5127",36,"Coober Pedy Airport","","Australia","CPD","YCBP",-29.04,134.721,740,9.5,"O","UTC+9:30"
"6487",37,"Cooinda","Cooinda","Australia","CDA","YCOO",-12.9033,132.532,43,9.5,"U","UTC+9:30"
"5131",38,"Cooktown Airport","","Australia","CTN","YCKN",-15.4447,145.184,26,10,"O","UTC+10"
"5135",39,"Cooma Snowy Mountains Airport","","Australia","OOM","YCOM",-36.3006,148.974,3088,10,"O","UTC+10"
"5133",40,"Coonamble Airport","","Australia","CNB","YCNM",-30.9833,148.376,604,10,"O","UTC+10"
"5132",41,"Cunnamulla Airport","","Australia","CMA","YCMU",-28.03,145.622,630,10,"O","UTC+10"
"3892",42,"Darwin Intl","Darwin","Australia","DRW","YPDN",-12.4083333,130.87266,103,9.5,"N","UTC+9:30"
"6145",43,"Derby Airport","Derby","Australia","DRB","YDBY",-17.39,123.68,26,8,"U","UTC+8"
"5136",44,"Doomadgee Airport","","Australia","DMD","YDMG",-17.9403,138.822,153,10,"O","UTC+10"
"3263",45,"Dubbo","Dubbo","Australia","DBO","YSDU",-32.216667,148.574722,935,10,"O","UTC+10"
"3883",46,"Emerald","Emerald","Australia","EMD","YEML",-23.5675,148.179167,624,10,"O","UTC+10"
"5140",47,"Esperance Airport","","Australia","EPR","YESP",-33.6844,121.823,470,8,"O","UTC+8"
"6144",48,"Exmouth Airport","Exmouth","Australia","EXM","",-21.933,114.128,50,8,"U","UTC+8"
"6152",49,"Fitzroy Crossing Airport","Fitzroy Crossing","Australia","FIZ","YFTZ",-18.178,125.591,374,8,"U","UTC+8"
"6279",50,"Geelong Airport","Geelong","Australia","GEX","YGLG",-38.225,144.333,43,10,"O","UTC+10"
"5142",51,"Geraldton Airport","","Australia","GET","YGEL",-28.7961,114.707,121,8,"O","UTC+8"
"5143",52,"Gladstone Airport","","Australia","GLT","YGLA",-23.8697,151.223,64,10,"O","UTC+10"
"3228",53,"Gold Coast","Coolangatta","Australia","OOL","YBCG",-28.164444,153.504722,21,10,"N","UTC+10"
"4304",54,"Goulburn Airport","Goulburn","Australia","GUL","YGLB",-34.8103,149.726,2141,10,"O","UTC+10"
"5190",55,"Gove Airport","","Australia","GOV","YPGV",-12.2694,136.818,192,9.5,"O","UTC+9:30"
"5441",56,"Grafton Airport","","Australia","GFN","YGFN",-29.7594,153.03,110,10,"U","UTC+10"
"5145",57,"Griffith Airport","","Australia","GFF","YGTH",-34.2508,146.067,439,10,"O","UTC+10"
"5144",58,"Groote Eylandt Airport","","Australia","GTE","YGTE",-13.975,136.46,53,9.5,"O","UTC+9:30"
"6151",59,"Halls Creek Airport","Halls Creek","Australia","HCQ","YHLC",-18.233889,127.669722,1346,8,"U","UTC+8"
"6150",60,"Hamilton Airport","Hamilton","Australia","HLT","YHML",-37.648889,142.065278,803,10,"O","UTC+10"
"3945",61,"Hervey Bay Airport","Hervey Bay","Australia","HVB","YHBA",-25.318889,152.880278,60,10,"O","UTC+10"
"5147",62,"Hooker Creek Airport","","Australia","HOK","YHOO",-18.3367,130.638,320,9.5,"O","UTC+9:30"
"5149",63,"Hughenden Airport","","Australia","HGD","YHUG",-20.815,144.225,1043,10,"O","UTC+10"
"6488",64,"Jabiru","Jabiru","Australia","JAB","YJAB",-12.6571,132.893,52,9.5,"U","UTC+9:30"
"5150",65,"Julia Creek Airport","","Australia","JCK","YJLC",-20.6683,141.723,404,10,"O","UTC+10"
"5151",66,"Kalbarri Airport","","Australia","KAX","YKBR",-27.69,114.262,157,8,"O","UTC+8"
"3251",67,"Kalgoorlie Boulder","Kalgoorlie","Australia","KGI","YPKG",-30.789444,121.461667,1203,8,"O","UTC+8"
"5153",68,"Kalkgurung Airport","","Australia","KFG","YKKG",-17.4319,130.808,646,9.5,"O","UTC+9:30"
"3250",69,"Karratha","Karratha","Australia","KTA","YPKA",-20.712222,116.773333,29,8,"O","UTC+8"
"5154",70,"Karumba Airport","","Australia","KRB","YKMB",-17.4567,140.83,5,10,"O","UTC+10"
"3944",71,"Kingscote Airport","Kingscote","Australia","KGC","YKSC",-35.713889,137.521389,24,9.5,"O","UTC+9:30"
"5155",72,"Kowanyama Airport","","Australia","KWM","YKOW",-15.4856,141.751,35,10,"O","UTC+10"
"3252",73,"Kununurra","Kununurra","Australia","KNX","YPKU",-15.778056,128.7075,145,8,"O","UTC+8"
"5158",74,"Lake Evella Airport","","Australia","LEL","YLEV",-12.4989,135.806,256,9.5,"O","UTC+9:30"
"5165",75,"Laverton Airport","","Australia","LVO","YLTN",-28.6136,122.424,1530,8,"O","UTC+8"
"3253",76,"Learmonth","Learmonth","Australia","LEA","YPLM",-22.235556,114.088611,19,8,"O","UTC+8"
"5164",77,"Leinster Airport","","Australia","LER","YLST",-27.8433,120.703,1631,8,"O","UTC+8"
"5157",78,"Leonora Airport","Leonora","Australia","LNO","YLEO",-28.8781,121.315,1217,8,"O","UTC+8"
"5162",79,"Lightning Ridge Airport","","Australia","LHG","YLRD",-29.4567,147.984,540,10,"O","UTC+10"
"5161",80,"Lismore Airport","","Australia","LSY","YLIS",-28.8303,153.26,35,10,"O","UTC+10"
"5160",81,"Lockhart River Airport","","Australia","IRG","YLHR",-12.7869,143.305,77,10,"O","UTC+10"
"5163",82,"Longreach Airport","","Australia","LRE","YLRE",-23.4342,144.28,627,10,"O","UTC+10"
"3233",83,"Mackay","Mackay","Australia","MKY","YBMK",-21.171667,149.179722,19,10,"O","UTC+10"
"1928",84,"Maitland Airport","Maitland","Australia","MTL","YMND",-32.7033,151.488,75,10,"O","UTC+10"
"6952",85,"Mallacoota Airport","Mallacoota","Australia","XMC","YMCO",-37.598301,149.720001,31,11,"U","UTC+11"
"5170",86,"Maningrida Airport","","Australia","MNG","YMGD",-12.0561,134.234,123,9.5,"O","UTC+9:30"
"3232",87,"Maroochydore Sunshine Coast","Maroochydore","Australia","MCY","YBMC",-26.603333,153.091111,15,10,"O","UTC+10"
"5180",88,"Maryborough Airport","","Australia","MBH","YMYB",-25.5133,152.715,38,10,"O","UTC+10"
"5171",89,"McArthur River Mine Airport","","Australia","MCV","YMHU",-16.4425,136.084,131,9.5,"O","UTC+9:30"
"5167",90,"Meekatharra Airport","","Australia","MKR","YMEK",-26.6117,118.548,1713,8,"O","UTC+8"
"3240",91,"Melbourne Essendon","Melbourne","Australia","MEB","YMEN",-37.728056,144.901944,282,10,"O","UTC+10"
